Year,Team,PF
2022,Philadelphia Eagles,411
2021,Philadelphia Eagles,444
2020,Philadelphia Eagles,334
2019,Philadelphia Eagles,385
2018,Philadelphia Eagles,367
2017,Philadelphia Eagles,457
2016,Philadelphia Eagles,367
2015,Philadelphia Eagles,377
2014,Philadelphia Eagles,474
2013,Philadelphia Eagles,442
2012,Philadelphia Eagles,280
2011,Philadelphia Eagles,396
2010,Philadelphia Eagles,439
2009,Philadelphia Eagles,429
2008,Philadelphia Eagles,416
2007,Philadelphia Eagles,336
2006,Philadelphia Eagles,398
2005,Philadelphia Eagles,310
2004,Philadelphia Eagles,386
2003,Philadelphia Eagles,374
2002,Philadelphia Eagles,415
2001,Philadelphia Eagles,343
2000,Philadelphia Eagles,351
1999,Philadelphia Eagles,272
1998,Philadelphia Eagles,161
1997,Philadelphia Eagles,317
1996,Philadelphia Eagles,363
1995,Philadelphia Eagles,318
1994,Philadelphia Eagles,308
1993,Philadelphia Eagles,293
1992,Philadelphia Eagles,354
2022,Dallas Cowboys,394
2021,Dallas Cowboys,530
2020,Dallas Cowboys,395
2019,Dallas Cowboys,434
2018,Dallas Cowboys,339
2017,Dallas Cowboys,354
2016,Dallas Cowboys,421
2015,Dallas Cowboys,275
2014,Dallas Cowboys,467
2013,Dallas Cowboys,439
2012,Dallas Cowboys,376
2011,Dallas Cowboys,369
2010,Dallas Cowboys,394
2009,Dallas Cowboys,361
2008,Dallas Cowboys,362
2007,Dallas Cowboys,455
2006,Dallas Cowboys,425
2005,Dallas Cowboys,325
2004,Dallas Cowboys,293
2003,Dallas Cowboys,289
2002,Dallas Cowboys,217
2001,Dallas Cowboys,246
2000,Dallas Cowboys,294
1999,Dallas Cowboys,352
1998,Dallas Cowboys,381
1997,Dallas Cowboys,304
1996,Dallas Cowboys,286
1995,Dallas Cowboys,435
1994,Dallas Cowboys,414
1993,Dallas Cowboys,376
1992,Dallas Cowboys,409
2022,New York Giants,287
2021,New York Giants,258
2020,New York Giants,280
2019,New York Giants,341
2018,New York Giants,369
2017,New York Giants,246
2016,New York Giants,310
2015,New York Giants,420
2014,New York Giants,380
2013,New York Giants,294
2012,New York Giants,429
2011,New York Giants,394
2010,New York Giants,394
2009,New York Giants,402
2008,New York Giants,427
2007,New York Giants,373
2006,New York Giants,355
2005,New York Giants,422
2004,New York Giants,303
2003,New York Giants,243
2002,New York Giants,320
2001,New York Giants,294
2000,New York Giants,328
1999,New York Giants,299
1998,New York Giants,287
1997,New York Giants,307
1996,New York Giants,242
1995,New York Giants,290
1994,New York Giants,279
1993,New York Giants,288
1992,New York Giants,306
2022,Washington Commanders,265
2021,Washington Commanders,335
2020,Washington Commanders,335
2019,Washington Commanders,266
2018,Washington Commanders,281
2017,Washington Commanders,342
2016,Washington Commanders,396
2015,Washington Commanders,388
2014,Washington Commanders,301
2013,Washington Commanders,334
2012,Washington Commanders,436
2011,Washington Commanders,288
2010,Washington Commanders,302
2009,Washington Commanders,266
2008,Washington Commanders,265
2007,Washington Commanders,334
2006,Washington Commanders,307
2005,Washington Commanders,359
2004,Washington Commanders,240
2003,Washington Commanders,287
2002,Washington Commanders,307
2001,Washington Commanders,256
2000,Washington Commanders,281
1999,Washington Commanders,443
1998,Washington Commanders,319
1997,Washington Commanders,327
1996,Washington Commanders,364
1995,Washington Commanders,326
1994,Washington Commanders,320
1993,Washington Commanders,230
1992,Washington Commanders,300
