,Team,Values,Years,Pts
0,Arsenal FC,56.00,2012,56
1,Aston Villa,27.83,2012,37
2,Chelsea FC,109.70,2012,34
3,Everton FC,21.65,2012,41
4,Fulham FC,10.00,2012,54
5,Liverpool FC,70.60,2012,66
6,Manchester City,61.95,2012,43
7,Manchester United,76.45,2012,49
8,Newcastle United,31.97,2012,62
9,Norwich City,11.08,2012,99
10,Queens Park Rangers,50.35,2012,81
11,Reading FC,10.82,2012,66
12,Southampton FC,41.50,2012,44
13,Stoke City,23.68,2012,21
14,Sunderland AFC,38.30,2012,54
15,Swansea City,20.47,2012,52
16,Tottenham Hotspur,73.25,2012,59
17,West Bromwich Albion,5.00,2012,34
18,West Ham United,23.90,2012,38
19,Wigan Athletic,10.54,2012,59
0,Arsenal FC,49.25,2013,56
1,Aston Villa,19.84,2013,37
2,Cardiff City,45.82,2013,34
3,Chelsea FC,130.35,2013,41
4,Crystal Palace,33.00,2013,54
5,Everton FC,31.80,2013,66
6,Fulham FC,29.30,2013,43
7,Hull City,31.10,2013,49
8,Liverpool FC,58.10,2013,62
9,Manchester City,115.50,2013,99
10,Manchester United,77.13,2013,81
11,Newcastle United,3.80,2013,66
12,Norwich City,30.05,2013,44
13,Southampton FC,39.60,2013,21
14,Stoke City,7.00,2013,54
15,Sunderland AFC,33.91,2013,52
16,Swansea City,26.61,2013,59
17,Tottenham Hotspur,122.55,2013,34
18,West Bromwich Albion,15.70,2013,38
19,West Ham United,24.00,2013,59
0,Arsenal FC,118.98,2014,56
1,Aston Villa,13.45,2014,37
2,Burnley FC,12.62,2014,34
3,Chelsea FC,137.70,2014,41
4,Crystal Palace,31.22,2014,54
5,Everton FC,40.16,2014,66
6,Hull City,48.22,2014,43
7,Leicester City,22.86,2014,49
8,Liverpool FC,151.43,2014,62
9,Manchester City,102.80,2014,99
10,Manchester United,195.35,2014,81
11,Newcastle United,45.02,2014,66
12,Queens Park Rangers,43.54,2014,44
13,Southampton FC,96.00,2014,21
14,Stoke City,1.80,2014,54
15,Sunderland AFC,22.52,2014,52
16,Swansea City,41.53,2014,59
17,Tottenham Hotspur,48.48,2014,34
18,West Bromwich Albion,24.88,2014,38
19,West Ham United,35.15,2014,59
0,AFC Bournemouth,55.11,2015,56
1,Arsenal FC,26.50,2015,37
2,Aston Villa,66.55,2015,34
3,Chelsea FC,96.50,2015,41
4,Crystal Palace,28.80,2015,54
5,Everton FC,48.90,2015,66
6,Leicester City,49.90,2015,43
7,Liverpool FC,126.50,2015,49
8,Manchester City,208.47,2015,62
9,Manchester United,156.00,2015,99
10,Newcastle United,107.91,2015,81
11,Norwich City,50.50,2015,66
12,Southampton FC,60.10,2015,44
13,Stoke City,53.65,2015,21
14,Sunderland AFC,66.05,2015,54
15,Swansea City,21.81,2015,52
16,Tottenham Hotspur,71.00,2015,59
17,Watford FC,82.80,2015,34
18,West Bromwich Albion,42.90,2015,38
19,West Ham United,52.70,2015,59
0,AFC Bournemouth,40.69,2016,56
1,Arsenal FC,113.00,2016,37
2,Burnley FC,45.60,2016,34
3,Chelsea FC,132.80,2016,41
4,Crystal Palace,101.20,2016,54
5,Everton FC,86.00,2016,66
6,Hull City,40.00,2016,43
7,Leicester City,92.10,2016,49
8,Liverpool FC,79.90,2016,62
9,Manchester City,215.25,2016,99
10,Manchester United,185.00,2016,81
11,Middlesbrough FC,47.95,2016,66
12,Southampton FC,68.90,2016,44
13,Stoke City,38.78,2016,21
14,Sunderland AFC,41.90,2016,54
15,Swansea City,58.10,2016,52
16,Tottenham Hotspur,83.50,2016,59
17,Watford FC,70.45,2016,34
18,West Bromwich Albion,37.90,2016,38
19,West Ham United,83.50,2016,59
0,AFC Bournemouth,34.30,2017,56
1,Arsenal FC,152.85,2017,37
2,Brighton & Hove Albion,66.50,2017,34
3,Burnley FC,35.74,2017,41
4,Chelsea FC,260.50,2017,54
5,Crystal Palace,48.95,2017,66
6,Everton FC,203.20,2017,43
7,Huddersfield Town,56.75,2017,49
8,Leicester City,83.85,2017,62
9,Liverpool FC,173.65,2017,99
10,Manchester City,317.50,2017,81
11,Manchester United,198.40,2017,66
12,Newcastle United,46.50,2017,44
13,Southampton FC,61.25,2017,21
14,Stoke City,57.70,2017,54
15,Swansea City,73.39,2017,52
16,Tottenham Hotspur,123.50,2017,59
17,Watford FC,73.40,2017,34
18,West Bromwich Albion,53.50,2017,38
19,West Ham United,56.80,2017,59
0,AFC Bournemouth,91.60,2018,56
1,Arsenal FC,80.15,2018,37
2,Brighton & Hove Albion,87.12,2018,34
3,Burnley FC,33.00,2018,41
4,Cardiff City,40.20,2018,54
5,Chelsea FC,208.80,2018,66
6,Crystal Palace,11.85,2018,43
7,Everton FC,99.80,2018,49
8,Fulham FC,116.50,2018,62
9,Huddersfield Town,50.70,2018,99
10,Leicester City,114.60,2018,81
11,Liverpool FC,182.20,2018,66
12,Manchester City,78.59,2018,44
13,Manchester United,82.70,2018,21
14,Newcastle United,59.75,2018,54
15,Southampton FC,62.25,2018,52
16,Tottenham Hotspur,-,2018,59
17,Watford FC,30.10,2018,34
18,West Ham United,100.90,2018,38
19,Wolverhampton Wanderers,112.75,2018,59
0,AFC Bournemouth,54.91,2019,56
1,Arsenal FC,160.80,2019,37
2,Aston Villa,159.50,2019,34
3,Brighton & Hove Albion,61.74,2019,41
4,Burnley FC,23.85,2019,54
5,Chelsea FC,45.00,2019,66
6,Crystal Palace,7.60,2019,43
7,Everton FC,121.00,2019,49
8,Leicester City,104.30,2019,62
9,Liverpool FC,10.40,2019,99
10,Manchester City,159.52,2019,81
11,Manchester United,234.80,2019,66
12,Newcastle United,72.90,2019,44
13,Norwich City,8.82,2019,21
14,Sheffield United,70.50,2019,54
15,Southampton FC,61.50,2019,52
16,Tottenham Hotspur,148.50,2019,59
17,Watford FC,56.00,2019,34
18,West Ham United,119.80,2019,38
19,Wolverhampton Wanderers,116.70,2019,59
0,Arsenal FC,86.00,2020,56
1,Aston Villa,101.35,2020,37
2,Brighton & Hove Albion,28.50,2020,34
3,Burnley FC,1.10,2020,41
4,Chelsea FC,247.20,2020,54
5,Crystal Palace,22.40,2020,66
6,Everton FC,73.37,2020,43
7,Fulham FC,37.25,2020,49
8,Leeds United,127.80,2020,62
9,Leicester City,59.40,2020,99
10,Liverpool FC,84.05,2020,81
11,Manchester City,173.40,2020,66
12,Manchester United,83.80,2020,44
13,Newcastle United,39.00,2020,21
14,Sheffield United,62.70,2020,54
15,Southampton FC,37.30,2020,52
16,Tottenham Hotspur,110.50,2020,59
17,West Bromwich Albion,42.14,2020,34
18,West Ham United,54.70,2020,38
19,Wolverhampton Wanderers,87.59,2020,59
0,Arsenal FC,167.40,2021,56
1,Aston Villa,129.82,2021,37
2,Brentford FC,36.70,2021,34
3,Brighton & Hove Albion,75.00,2021,41
4,Burnley FC,49.40,2021,54
5,Chelsea FC,118.00,2021,66
6,Crystal Palace,85.62,2021,43
7,Everton FC,39.50,2021,49
8,Leeds United,58.90,2021,62
9,Leicester City,67.60,2021,99
10,Liverpool FC,87.00,2021,81
11,Manchester City,138.90,2021,66
12,Manchester United,142.00,2021,44
13,Newcastle United,130.50,2021,21
14,Norwich City,63.55,2021,54
15,Southampton FC,43.10,2021,52
16,Tottenham Hotspur,95.90,2021,59
17,Watford FC,43.50,2021,34
18,West Ham United,74.50,2021,38
19,Wolverhampton Wanderers,37.60,2021,59
