State,GDPcapita,Population
Alabama,41664,4903185
Alaska,69430,731545
Arizona,47779,7278717
Arkansas,40764,3017804
California,73264,39512223
Colorado,64308,5758736
Connecticut,68381,3565287
Delaware,64187,973764
Florida,47269,21477737
Georgia,53270,10617423
Hawaii,51713,1415872
Idaho,42134,1787065
Illinois,61560,12671821
Indiana,50873,6732219
Iowa,56295,3155070
Kansas,55303,2913314
Kentucky,43868,4467673
Louisiana,47827,4648794
Maine,46343,1344212
Maryland,59783,6045680
Massachusetts,76324,6892503
Michigan,47934,9986857
Minnesota,60659,5639632
Mississippi,35374,2976149
Missouri,47937,6137428
Montana,44352,1068778
Nebraska,62197,1934408
Nevada,50753,3080156
New Hampshire,59746,1359711
New Jersey,61172,8882190
New Mexico,44249,2096829
New York,76365,19453561
North Carolina,51362,10488084
North Dakota,69429,762062
Ohio,53420,11689100
Oklahoma,48469,3956971
Oregon,53691,4217737
Pennsylvania,54842,12801989
Rhode Island,49841,1059361
South Carolina,42585,5148714
South Dakota,55349,884659
Tennessee,50530,6829174
Texas,61469,28995881
United States,59085,3205958
Utah,55995,623989
Vermont,47318,8535519
Virginia,58474,7614893
Washington,74319,1792147
West Virginia,40014,5822434
Wisconsin,51980,578759
Wyoming,62888,
